,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
14,GBM_grid_1_AutoML_1_20241015_104849_model_113,0.8085390929343229,0.15884528748289056,0.2744382916060899,0.3220946855529479,0.20127645172051312,0.04051221001720005
15,GBM_grid_1_AutoML_1_20241015_104849_model_390,0.8084630871683682,0.15805171792125347,0.2693550258628225,0.34200474142552506,0.20080121585134345,0.040321128287377835
16,GBM_grid_1_AutoML_1_20241015_104849_model_846,0.8083970288655127,0.15759041169839316,0.27501151678799723,0.34706937015284545,0.2003953989843327,0.040158315934089896
17,GBM_grid_1_AutoML_1_20241015_104849_model_391,0.8079865619899692,0.15728985186298705,0.27246306971205303,0.34654269069941984,0.2001929002380572,0.040077197305724725
18,GBM_grid_1_AutoML_1_20241015_104849_model_188,0.8074428467614158,0.15748582740469172,0.2737370191265511,0.35275348161208464,0.20025960211584512,0.0401039082395966
19,GBM_grid_1_AutoML_1_20241015_104849_model_443,0.8074184248460228,0.15942558008941146,0.26543590966321906,0.35932809949845723,0.2015616389276962,0.04062709428721898
20,GBM_grid_1_AutoML_1_20241015_104849_model_720,0.8073014974803729,0.15851374533421453,0.2772146710613079,0.33878319295695786,0.20083059397144284,0.040332927474922536
21,GBM_grid_1_AutoML_1_20241015_104849_model_231,0.8069332030831179,0.15748719813551731,0.2785063453412641,0.33848369688233404,0.2000829116283702,0.0400331715256862
22,GBM_grid_1_AutoML_1_20241015_104849_model_305,0.8069332030831179,0.15938051829648436,0.2627382111953144,0.3092961723115045,0.2016926941556082,0.040679942875747714
23,GBM_grid_1_AutoML_1_20241015_104849_model_42,0.8069001441488665,0.15902461526990444,0.2606609530365092,0.32701981153429194,0.20143323694916285,0.04057534894781759
24,GBM_grid_1_AutoML_1_20241015_104849_model_637,0.8068425441679274,0.15875901471741502,0.2632198989097645,0.32462956123944203,0.20149757280671748,0.04060127184699842
25,GBM_grid_1_AutoML_1_20241015_104849_model_63,0.8065062365232724,0.15785262577103448,0.2628926869458515,0.3440414100380029,0.20064302821054933,0.040257624769499296
26,GBM_grid_1_AutoML_1_20241015_104849_model_103,0.8064367829785206,0.15830161617684155,0.2714352570533544,0.3564834824460037,0.20081657738786515,0.04032729775377642
27,GBM_grid_1_AutoML_1_20241015_104849_model_306,0.8063691759688353,0.16043441197875585,0.26356458527816234,0.3480190848333949,0.2024434023009815,0.04098333113519705
28,GBM_grid_1_AutoML_1_20241015_104849_model_645,0.8063138990481409,0.15822597397770244,0.27118260522028137,0.339469865739031,0.20055911995781112,0.040223960598251673
